date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:21:49	87314/87314	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2009:51:49%20GMT	https://www.sciencedirect.com/journal/biological-conservation/issues	www.sciencedirect.com/journal/biological-conservation/issues.html	(from )
15:21:50	1231/1231	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Tue,%2026%20Jun%202018%2015:50:21%20GMT	https://www.sciencedirect.com/robots.txt		(from )
15:21:50	58229/58229	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2009:51:50%20GMT	https://www.sciencedirect.com/journal/biological-conservation/articles-in-press	www.sciencedirect.com/journal/biological-conservation/articles-in-press.html	(from https://www.sciencedirect.com/journal/biological-conservation/issues)
15:21:51	94583/94583	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2009:51:51%20GMT	https://www.sciencedirect.com/journal/biological-conservation/vol/225/suppl/C	www.sciencedirect.com/journal/biological-conservation/vol/225/suppl/C.html	(from https://www.sciencedirect.com/journal/biological-conservation/issues)
15:21:52	85832/85832	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2009:51:52%20GMT	https://www.sciencedirect.com/journal/biological-conservation/special-issues	www.sciencedirect.com/journal/biological-conservation/special-issues.html	(from https://www.sciencedirect.com/journal/biological-conservation/issues)
15:21:54	436741/436741	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2009:51:53%20GMT	https://www.sciencedirect.com/journal/biological-conservation/vol/224/suppl/C	www.sciencedirect.com/journal/biological-conservation/vol/224/suppl/C.html	(from https://www.sciencedirect.com/journal/biological-conservation/issues)
15:21:54	256397/256397	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2009:51:54%20GMT	https://www.sciencedirect.com/journal/biological-conservation/vol/223/suppl/C	www.sciencedirect.com/journal/biological-conservation/vol/223/suppl/C.html	(from https://www.sciencedirect.com/journal/biological-conservation/issues)
15:21:56	365250/365250	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2009:51:55%20GMT	https://www.sciencedirect.com/journal/biological-conservation/vol/222/suppl/C	www.sciencedirect.com/journal/biological-conservation/vol/222/suppl/C.html	(from https://www.sciencedirect.com/journal/biological-conservation/issues)
15:21:57	423537/423537	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2009:51:56%20GMT	https://www.sciencedirect.com/journal/biological-conservation/vol/221/suppl/C	www.sciencedirect.com/journal/biological-conservation/vol/221/suppl/C.html	(from https://www.sciencedirect.com/journal/biological-conservation/issues)
15:21:57	397608/397608	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2009:51:57%20GMT	https://www.sciencedirect.com/journal/biological-conservation/vol/220/suppl/C	www.sciencedirect.com/journal/biological-conservation/vol/220/suppl/C.html	(from https://www.sciencedirect.com/journal/biological-conservation/issues)
